case_id,structure,label,dice,hausdorff_mm,hd95_mm,avg_hausdorff_mm,assd_mm
oaizib_469,medial_tibial_cartilage,4,0.7932,3.3613,2.0,0.1132,0.5041
oaizib_469,lateral_tibial_cartilage,5,0.8291,2.8934,1.7321,0.0934,0.4939
oaizib_470,femur,1,0.9844,2.6082,1.4142,0.0085,0.5309
oaizib_470,femoral_cartilage,2,0.9046,5.1519,1.4142,0.0492,0.429
oaizib_470,tibia,3,0.9867,2.1875,1.0,0.0061,0.3628
oaizib_470,medial_tibial_cartilage,4,0.8781,2.6976,1.0,0.0553,0.3549
oaizib_470,lateral_tibial_cartilage,5,0.9037,2.9394,1.4142,0.054,0.404
oaizib_471,femur,1,0.9826,2.2985,1.4142,0.0093,0.4862
oaizib_471,femoral_cartilage,2,0.8653,2.5826,2.0,0.0687,0.513
oaizib_471,tibia,3,0.9861,2.9336,1.0,0.0066,0.3474
oaizib_471,medial_tibial_cartilage,4,0.8292,2.223,2.0,0.087,0.511
oaizib_471,lateral_tibial_cartilage,5,0.7741,3.0281,2.2361,0.1409,0.6338
oaizib_472,femur,1,0.9859,2.1491,1.4142,0.0073,0.5297
oaizib_472,femoral_cartilage,2,0.9013,4.0431,1.4142,0.0475,0.4043
oaizib_472,tibia,3,0.9821,5.1042,1.7321,0.0103,0.5408
oaizib_472,medial_tibial_cartilage,4,0.8436,4.7495,2.0,0.0996,0.5774
oaizib_472,lateral_tibial_cartilage,5,0.8995,2.7206,1.4142,0.0484,0.4701
oaizib_473,femur,1,0.9827,2.3272,1.7321,0.0096,0.6849
oaizib_473,femoral_cartilage,2,0.9041,3.8712,1.4142,0.048,0.4013
oaizib_473,tibia,3,0.9835,2.5439,1.7321,0.0089,0.5374
oaizib_473,medial_tibial_cartilage,4,0.8767,2.6976,1.0,0.0593,0.3628
oaizib_473,lateral_tibial_cartilage,5,0.9009,3.7313,1.4142,0.0506,0.4256
oaizib_474,femur,1,0.9806,3.7313,2.0,0.0117,0.7286
oaizib_474,femoral_cartilage,2,0.8905,7.0004,1.4142,0.0665,0.5018
oaizib_474,tibia,3,0.9835,3.0008,1.7321,0.0089,0.5308
oaizib_474,medial_tibial_cartilage,4,0.8035,3.3613,2.0,0.1274,0.5227
oaizib_474,lateral_tibial_cartilage,5,0.8828,2.8471,1.4142,0.0603,0.4824
oaizib_475,femur,1,0.9828,2.3678,1.4142,0.009,0.5718
oaizib_475,femoral_cartilage,2,0.8988,7.4154,2.0,0.0618,0.5673
oaizib_475,tibia,3,0.9825,2.9434,1.7321,0.0096,0.4928
oaizib_475,medial_tibial_cartilage,4,0.8797,4.6854,2.0,0.0601,0.5387
oaizib_475,lateral_tibial_cartilage,5,0.8615,4.0131,2.2361,0.0847,0.6802
oaizib_476,femur,1,0.9832,1.9527,1.4142,0.0089,0.4892
oaizib_476,femoral_cartilage,2,0.865,4.3902,2.0,0.0789,0.5444
oaizib_476,tibia,3,0.9822,2.6587,1.4142,0.0092,0.4268
oaizib_476,medial_tibial_cartilage,4,0.8347,3.3411,1.7321,0.0942,0.5209
oaizib_476,lateral_tibial_cartilage,5,0.6993,4.9684,3.3166,0.2307,0.8143
oaizib_477,femur,1,0.9807,2.7808,2.0,0.0106,0.5193
oaizib_477,femoral_cartilage,2,0.8639,4.4679,1.7321,0.0726,0.5162
oaizib_477,tibia,3,0.9858,1.6176,1.0,0.0062,0.3318
oaizib_477,medial_tibial_cartilage,4,0.7841,2.7808,2.2361,0.1314,0.6467
oaizib_477,lateral_tibial_cartilage,5,0.833,3.14,1.7321,0.0925,0.4838
oaizib_478,femur,1,0.9873,2.4097,1.4142,0.0067,0.5782
oaizib_478,femoral_cartilage,2,0.9108,6.0679,1.4142,0.0522,0.4663
oaizib_478,tibia,3,0.9889,5.8752,1.0,0.0061,0.3578
oaizib_478,medial_tibial_cartilage,4,0.8994,3.3956,1.4142,0.0547,0.4028
oaizib_478,lateral_tibial_cartilage,5,0.9244,2.5439,1.0,0.0344,0.3445
oaizib_479,femur,1,0.9815,2.223,1.4142,0.0097,0.4872
oaizib_479,femoral_cartilage,2,0.7944,4.4456,2.2361,0.1135,0.7083
oaizib_479,tibia,3,0.982,2.0216,1.4142,0.009,0.4347
oaizib_479,medial_tibial_cartilage,4,0.8067,2.6976,2.0,0.1018,0.5117
oaizib_479,lateral_tibial_cartilage,5,0.8098,4.6511,2.2361,0.1218,0.5741
oaizib_480,femur,1,0.9826,2.3678,1.4142,0.0093,0.4327
oaizib_480,femoral_cartilage,2,0.8757,8.2717,1.4142,0.0611,0.4543
oaizib_480,tibia,3,0.9874,1.6201,1.0,0.0054,0.2859
oaizib_480,medial_tibial_cartilage,4,0.8183,7.0762,2.0,0.1388,0.5368
oaizib_480,lateral_tibial_cartilage,5,0.8275,6.856,3.0,0.1522,0.671
oaizib_481,femur,1,0.9853,2.1875,1.7321,0.0081,0.5168
oaizib_481,femoral_cartilage,2,0.8688,4.9071,1.4142,0.0746,0.5189
oaizib_481,tibia,3,0.9847,2.578,1.7321,0.0086,0.4406
oaizib_481,medial_tibial_cartilage,4,0.8341,2.745,1.7321,0.0852,0.4531
oaizib_481,lateral_tibial_cartilage,5,0.8738,4.8602,1.4142,0.0728,0.4134
oaizib_482,femur,1,0.9787,7.7,2.2361,0.0163,0.6802
oaizib_482,femoral_cartilage,2,0.869,4.2673,1.7321,0.07,0.5631
oaizib_482,tibia,3,0.9856,1.8136,1.4142,0.0067,0.4004
oaizib_482,medial_tibial_cartilage,4,0.8292,4.3747,2.0,0.0911,0.5294
oaizib_482,lateral_tibial_cartilage,5,0.8452,2.2985,2.0,0.0886,0.5689
oaizib_483,femur,1,0.9825,4.8529,2.0,0.0105,0.655
oaizib_483,femoral_cartilage,2,0.8979,6.8172,1.4142,0.0568,0.4297
oaizib_483,tibia,3,0.9853,4.2673,1.7321,0.0085,0.4834
oaizib_483,medial_tibial_cartilage,4,0.8467,3.7886,1.4142,0.0906,0.4234
oaizib_483,lateral_tibial_cartilage,5,0.9048,3.6412,1.4142,0.0539,0.4124
oaizib_484,femur,1,0.9829,2.7808,1.4142,0.0091,0.4947
oaizib_484,femoral_cartilage,2,0.8565,4.1913,2.0,0.0807,0.5163
oaizib_484,tibia,3,0.9852,2.3058,1.4142,0.0074,0.3712
oaizib_484,medial_tibial_cartilage,4,0.8387,2.4457,1.4142,0.0793,0.4334
oaizib_484,lateral_tibial_cartilage,5,0.8026,4.1688,2.2361,0.1287,0.6195
oaizib_485,femur,1,0.9801,2.8,2.0,0.0118,0.6088
oaizib_485,femoral_cartilage,2,0.8302,2.9786,2.0,0.087,0.5774
oaizib_485,tibia,3,0.9863,1.3145,1.0,0.0061,0.3373
oaizib_485,medial_tibial_cartilage,4,0.8137,1.8229,2.0,0.0887,0.5073
oaizib_485,lateral_tibial_cartilage,5,0.7927,2.9394,2.0,0.1178,0.5961
oaizib_486,femur,1,0.9853,2.2968,1.4142,0.0077,0.5273
oaizib_486,femoral_cartilage,2,0.903,8.1572,1.4142,0.058,0.4482
oaizib_486,tibia,3,0.988,2.1,1.0,0.0056,0.3317
oaizib_486,medial_tibial_cartilage,4,0.8808,2.2985,1.0,0.0557,0.3846
oaizib_486,lateral_tibial_cartilage,5,0.9115,4.0463,1.4142,0.0447,0.3682
oaizib_487,femur,1,0.9838,4.1274,2.0,0.0099,0.5674
oaizib_487,femoral_cartilage,2,0.9014,4.4306,1.4142,0.0477,0.3997
oaizib_487,tibia,3,0.9873,2.178,1.0,0.0063,0.3573
oaizib_487,medial_tibial_cartilage,4,0.8608,2.7808,1.4142,0.0692,0.4075
oaizib_487,lateral_tibial_cartilage,5,0.894,3.6672,1.4142,0.0529,0.4518
oaizib_488,femur,1,0.985,2.1,1.4142,0.0079,0.5634
oaizib_488,femoral_cartilage,2,0.891,7.2917,1.7321,0.0743,0.5341
oaizib_488,tibia,3,0.9772,5.4277,2.2361,0.0162,0.6822
oaizib_488,medial_tibial_cartilage,4,0.8781,2.2968,1.4142,0.0583,0.4569
oaizib_488,lateral_tibial_cartilage,5,0.8142,6.6193,3.0,0.1529,0.7499
oaizib_489,femur,1,0.9811,2.9167,2.0,0.0105,0.7211
oaizib_489,femoral_cartilage,2,0.8889,11.2119,2.0,0.0776,0.5611
oaizib_489,tibia,3,0.9866,2.223,1.4142,0.0064,0.3894
oaizib_489,medial_tibial_cartilage,4,0.8027,4.4902,2.2361,0.1296,0.5872
oaizib_489,lateral_tibial_cartilage,5,0.8935,2.7808,1.7321,0.0628,0.4454
oaizib_490,femur,1,0.9776,4.5785,2.2361,0.014,0.6896
oaizib_490,femoral_cartilage,2,0.8479,12.8625,3.0,0.1348,0.7933
oaizib_490,tibia,3,0.9815,4.679,2.0,0.0118,0.5374
oaizib_490,medial_tibial_cartilage,4,0.7529,4.3472,3.0,0.1984,0.685
oaizib_490,lateral_tibial_cartilage,5,0.8866,2.3678,1.4142,0.0546,0.4185
oaizib_491,femur,1,0.9786,3.5189,2.2361,0.0129,0.7039
oaizib_491,femoral_cartilage,2,0.8907,7.7698,2.0,0.0828,0.6116
oaizib_491,tibia,3,0.9799,5.1264,2.0,0.0129,0.5715
oaizib_491,medial_tibial_cartilage,4,0.7199,12.1834,8.4853,0.4756,1.4401
oaizib_491,lateral_tibial_cartilage,5,0.8965,3.9463,2.0,0.0666,0.4628
oaizib_492,femur,1,0.9836,2.4775,1.4142,0.0088,0.4908
oaizib_492,femoral_cartilage,2,0.8565,5.2164,2.0,0.0905,0.5593
oaizib_492,tibia,3,0.9866,3.8786,1.0,0.0065,0.3298
oaizib_492,medial_tibial_cartilage,4,0.7975,6.5337,3.1623,0.1818,0.7138
oaizib_492,lateral_tibial_cartilage,5,0.8515,2.5971,1.4142,0.073,0.458
oaizib_493,femur,1,0.9826,2.9323,1.4142,0.0097,0.4891
oaizib_493,femoral_cartilage,2,0.846,7.0577,2.4495,0.1254,0.7224
oaizib_493,tibia,3,0.9843,2.4097,1.0,0.0074,0.3762
oaizib_493,medial_tibial_cartilage,4,0.7526,2.5826,2.2361,0.1384,0.6524
oaizib_493,lateral_tibial_cartilage,5,0.845,2.2381,2.0,0.0833,0.6063
oaizib_494,femur,1,0.977,3.1188,2.0,0.0137,0.778
oaizib_494,femoral_cartilage,2,0.8775,3.5937,1.4142,0.0615,0.4955
oaizib_494,tibia,3,0.9787,3.8266,2.0,0.013,0.64
oaizib_494,medial_tibial_cartilage,4,0.7509,5.9031,3.1623,0.2195,0.7709
oaizib_494,lateral_tibial_cartilage,5,0.8646,2.1491,1.4142,0.0662,0.4832
oaizib_495,femur,1,0.984,2.4372,1.4142,0.0085,0.5649
oaizib_495,femoral_cartilage,2,0.8703,6.7497,1.7321,0.0705,0.5035
oaizib_495,tibia,3,0.9849,2.5567,1.4142,0.0083,0.414
oaizib_495,medial_tibial_cartilage,4,0.7869,2.9786,1.4142,0.1095,0.4768
oaizib_495,lateral_tibial_cartilage,5,0.754,3.4198,2.8284,0.1596,0.7108
oaizib_496,femur,1,0.9828,4.9271,2.0,0.0115,0.5372
oaizib_496,femoral_cartilage,2,0.8695,4.1913,1.7321,0.0701,0.5173
oaizib_496,tibia,3,0.9865,1.9527,1.0,0.0063,0.347
oaizib_496,medial_tibial_cartilage,4,0.7793,2.8635,2.0,0.1206,0.5609
oaizib_496,lateral_tibial_cartilage,5,0.8259,2.2527,2.2361,0.1012,0.5984
oaizib_497,femur,1,0.9769,4.5935,2.0,0.0141,0.8394
oaizib_497,femoral_cartilage,2,0.8562,5.0878,2.2361,0.1,0.6262
oaizib_497,tibia,3,0.9808,2.7808,2.0,0.0104,0.578
oaizib_497,medial_tibial_cartilage,4,0.6812,7.4017,5.4772,0.4324,1.1024
oaizib_497,lateral_tibial_cartilage,5,0.8649,4.1726,2.8284,0.1033,0.5971
oaizib_498,femur,1,0.9848,2.4114,1.4142,0.0079,0.4729
oaizib_498,femoral_cartilage,2,0.8668,3.5674,2.0,0.0685,0.5034
oaizib_498,tibia,3,0.9865,2.0844,1.0,0.0063,0.3507
oaizib_498,medial_tibial_cartilage,4,0.7985,4.3244,2.0,0.1163,0.6115
oaizib_498,lateral_tibial_cartilage,5,0.8317,4.5853,2.0,0.1101,0.5805
oaizib_499,femur,1,0.9816,3.5,2.0,0.0115,0.5812
oaizib_499,femoral_cartilage,2,0.7973,7.2476,3.0,0.1526,0.8742
oaizib_499,tibia,3,0.983,2.3678,1.4142,0.0088,0.4399
oaizib_499,medial_tibial_cartilage,4,0.8264,3.9054,2.0,0.0939,0.6195
oaizib_499,lateral_tibial_cartilage,5,0.7538,8.7089,3.0,0.2591,0.8067
oaizib_500,femur,1,0.9831,2.5567,1.4142,0.009,0.4699
oaizib_500,femoral_cartilage,2,0.8683,3.0932,2.0,0.0694,0.5211
oaizib_500,tibia,3,0.9832,2.7808,1.4142,0.009,0.4114
oaizib_500,medial_tibial_cartilage,4,0.7167,2.5439,2.4495,0.153,0.8017
oaizib_500,lateral_tibial_cartilage,5,0.8009,3.8957,2.0,0.1131,0.5348
oaizib_501,femur,1,0.9793,2.9839,2.0,0.0123,0.6952
oaizib_501,femoral_cartilage,2,0.841,4.0131,2.2361,0.0951,0.6786
oaizib_501,tibia,3,0.984,3.6583,1.7321,0.0096,0.4484
oaizib_501,medial_tibial_cartilage,4,0.7908,3.006,2.0,0.1135,0.5635
oaizib_501,lateral_tibial_cartilage,5,0.7398,4.7976,3.1623,0.2133,0.7766
oaizib_502,femur,1,0.9824,2.5439,1.7321,0.0096,0.52
oaizib_502,femoral_cartilage,2,0.8804,3.2236,1.4142,0.0592,0.4544
oaizib_502,tibia,3,0.9875,1.5785,1.0,0.0058,0.307
oaizib_502,medial_tibial_cartilage,4,0.7843,7.0943,3.0,0.178,0.7997
oaizib_502,lateral_tibial_cartilage,5,0.8385,3.7536,2.2361,0.1228,0.5734
oaizib_503,femur,1,0.9836,2.9995,1.4142,0.0087,0.4672
oaizib_503,femoral_cartilage,2,0.8798,3.7387,1.4142,0.0621,0.4838
oaizib_503,tibia,3,0.9866,2.1875,1.0,0.0061,0.3351
oaizib_503,medial_tibial_cartilage,4,0.8108,2.5567,2.0,0.0971,0.4838
oaizib_503,lateral_tibial_cartilage,5,0.8243,2.8181,2.0,0.0985,0.5156
oaizib_504,femur,1,0.986,1.6305,1.0,0.0072,0.422
oaizib_504,femoral_cartilage,2,0.8635,3.664,1.4142,0.0709,0.4629
oaizib_504,tibia,3,0.9876,1.9864,1.0,0.0055,0.2959
oaizib_504,medial_tibial_cartilage,4,0.8487,2.8236,1.4142,0.0764,0.3658
oaizib_504,lateral_tibial_cartilage,5,0.8586,3.8061,2.2361,0.0996,0.4893
oaizib_505,femur,1,0.9837,2.8,1.4142,0.0094,0.4713
oaizib_505,femoral_cartilage,2,0.8824,6.4985,1.4142,0.0659,0.4616
oaizib_505,tibia,3,0.9867,2.1,1.0,0.0063,0.3331
oaizib_505,medial_tibial_cartilage,4,0.8471,3.0542,1.4142,0.0816,0.5136
oaizib_505,lateral_tibial_cartilage,5,0.8587,4.5853,1.7321,0.0819,0.4961
oaizib_506,femur,1,0.9778,2.1875,2.0,0.013,0.5736
oaizib_506,femoral_cartilage,2,0.8356,6.8879,2.8284,0.1736,0.7508
oaizib_506,tibia,3,0.9859,2.2177,1.0,0.0065,0.3361
oaizib_506,medial_tibial_cartilage,4,0.8031,2.8181,2.0,0.1252,0.5128
oaizib_506,lateral_tibial_cartilage,5,0.8278,4.1597,2.4495,0.12,0.6439
oaizib_507,femur,1,0.984,4.3774,1.4142,0.009,0.6352
oaizib_507,femoral_cartilage,2,0.8832,5.5621,2.0,0.0765,0.5362
oaizib_507,tibia,3,0.9851,2.3255,1.4142,0.0077,0.4356
oaizib_507,medial_tibial_cartilage,4,0.8803,4.597,2.0,0.0759,0.5138
oaizib_507,lateral_tibial_cartilage,5,0.7912,4.2074,3.1623,0.1737,0.7632
